start_region,dest_region,interconnect_cost_mw,interconnect_annuity_mw,line_loss_frac,start_id,dest_id,dollar_year,mw-km_per_mw,start_intraregion_cost_mw,dest_intraregion_cost_mw,start_intraregion_loss_frac,dest_intraregion_loss_frac,start_mw-km_per_mw,dest_mw-km_per_mw,total_interconnect_cost_mw,total_line_loss_frac,total_mw-km_per_mw,total_interconnect_annuity_mw
PJMD,SRCA,317554.2258533448,15382.017156269714,0.0192893204650878,115246,147032,2018,258.917045251632,225463.1402080607,390443.1251374207,0.03127780652324641,0.0608255060831705,90.45675800194127,175.88098833543688,933460.4911988262,0.11139263307150471,525.2547915890101,45215.916279292025
PJMD,PJME,69527.8725179545,3367.86237070586,0.0027104033822193,146246,146294,2018,7.88908729652601,225463.1402080607,173983.10970929044,0.03127780652324641,0.014143617972745031,90.45675800194127,40.918488656338894,468974.1224353056,0.04813182787821074,139.26433395480618,22716.64934630057
PJMD,PJMW,455623.5137273682,22069.958874333926,0.0197493101779296,122896,146390,2018,265.1431816442561,225463.1402080607,301444.6340358522,0.03127780652324641,0.047772656734015956,90.45675800194127,138.1545781302855,982531.2879712812,0.09879977343519197,493.7545177764829,47592.85784194128
SPP,SRSG,901491.691518457,43667.37878517633,0.0792837019042968,149221,300626,2018,1390.9422612518476,496495.5100813233,259107.8086176636,0.0338995643920898,0.0483159921010335,455.0277413171593,139.70889244992054,1657095.0102174438,0.1614992583974201,1985.6788950189275,80268.06699938317
SPP,MISS,819821.6069705664,39711.35949967089,0.0617531393047124,112530,149640,2018,1083.4402589451677,496495.5100813233,,0.0338995643920898,,455.0277413171593,,1316317.1170518897,0.0956527036968022,1538.468000262327,63761.11803637108
SPP,MISC,371606.3288640992,18000.248337447127,0.024118696072705,117394,117940,2018,323.7926765808675,496495.5100813233,397036.40215175785,0.0338995643920898,0.0277312094394043,455.0277413171593,372.2827919510444,1265138.2410971804,0.0857494699041991,1151.1032098490712,61282.063173037284
SPP,MISW,623416.3083102442,30197.678283630063,0.0378647827148437,117645,144556,2018,664.2944622496007,496495.5100813233,661701.3008743897,0.0338995643920898,0.0395358854037597,455.0277413171593,530.7348480983455,1781613.1192659573,0.1113002325106932,1650.0570516651055,86299.6028244962
SPP,TRE,333984.62164559326,16177.889512499629,0.0207483273010253,149640,303537,2018,278.50104602052505,496495.5100813233,271718.0809329405,0.0338995643920898,0.021446431902812348,455.0277413171593,222.80324910844055,1102198.212659857,0.07609432359592744,956.332036446125,53389.40702547441
SRCA,SOU,471691.4483085205,22848.27396281664,0.0233156466827392,150303,133851,2018,312.961724139179,390443.1251374207,385479.851340759,0.0608255060831705,0.02885689125663845,175.88098833543688,263.36247733061185,1247614.4247867002,0.11299804402254815,752.2051898052277,60433.22659274371
SRCA,PJMW,685653.1817941212,33212.371768212135,0.0334165700683593,115154,146390,2018,586.2556633785169,390443.1251374207,301444.6340358522,0.0608255060831705,0.047772656734015956,175.88098833543688,138.1545781302855,1377540.940967394,0.14201473288554575,900.2912298442393,66726.74038735703
SRCA,SRCE,701724.6083178418,33990.85600298899,0.0333496329570561,151756,129148,2018,585.1330803764861,390443.1251374207,390900.1645700108,0.0608255060831705,0.02132743366233423,175.88098833543688,286.2998419914721,1483067.8980252733,0.11550257270256081,1047.313910703395,71838.36332215265
SRSG,BASN,557144.782689502,26987.550182418123,0.0300094175720214,305611,310051,2018,402.8109665440962,259107.8086176636,805461.7588348878,0.0483159921010335,0.0487463935214355,139.70889244992054,654.3658364337821,1621714.3501420533,0.1270718031944904,1196.8856954277987,78554.26231353043
SRSG,RMRG,907891.791652676,43977.39339701757,0.0747971158447265,202112,300626,2018,1312.2301038367762,259107.8086176636,,0.0483159921010335,,139.70889244992054,,1166999.6002703395,0.12311310794576,1451.9389962866967,56528.3230745238
SRSG,CASO,596893.3346004395,28912.931291071,0.0279523665161132,302032,305000,2018,490.39244199604707,259107.8086176636,131965.60515153766,0.0483159921010335,0.013933934992048803,139.70889244992054,40.32667447889517,987966.7483696408,0.0902022936091955,670.4280089248628,47856.14624528441
MISE,MISC,367309.43935854494,17792.11119830052,0.0254207241210937,143992,151162,2018,341.21782079358866,331484.00868200685,397036.40215175785,0.0208513991241455,0.0277312094394043,279.8845596729041,372.2827919510444,1095829.8501923096,0.0740033326846435,993.3851724175372,53080.92975526986
MISE,PJMW,318365.6441357422,15421.321466918416,0.0189420228729248,128336,152464,2018,254.25535700620117,331484.00868200685,301444.6340358522,0.0208513991241455,0.047772656734015956,279.8845596729041,138.1545781302855,951294.2868536012,0.08756607873108625,672.2944948093907,46079.767956862976
MISE,MISW,664893.304944834,32206.78356985115,0.0300628440166264,145780,144525,2018,527.4701294725842,331484.00868200685,661701.3008743897,0.0208513991241455,0.0395358854037597,279.8845596729041,530.7348480983455,1658078.6145012304,0.0904501285445316,1338.0895372438338,80315.71183209647
MISS,SOU,640037.1396976856,31002.775154459177,0.0321269102783203,153516,150257,2018,563.6300320492815,,385479.851340759,,0.02885689125663845,,263.36247733061185,1025516.9910384447,0.06098380153495875,826.9925093798934,49675.04339710622
MISS,MISC,827570.7527441994,40086.72056726854,0.0604141124492436,117709,114308,2018,1059.9485745442043,,397036.40215175785,,0.0277312094394043,,372.2827919510444,1224607.154895957,0.0881453218886479,1432.2313664952487,59318.776866158194
MISS,SRCE,593875.9375136134,28766.77151746977,0.0355836276855468,112615,153534,2018,624.2741699796923,,390900.1645700108,,0.02132743366233423,,286.2998419914721,984776.1020836241,0.05691106134788103,910.5740119711643,47701.59444935346
SOU,SRCE,346847.5486692871,16800.957159061763,0.019413170349121,153461,148129,2018,260.5794731452714,385479.851340759,390900.1645700108,0.02885689125663845,0.02132743366233423,263.36247733061185,286.2998419914721,1123227.5645800568,0.06959749526809367,810.2417924673553,54408.048333592706
MISC,PJMC,272214.4978338013,13185.804927057226,0.0189171785507202,153373,153313,2018,253.92187924757036,397036.40215175785,,0.0277312094394043,,372.2827919510444,,669250.8999855592,0.046648387990124496,626.2046711986147,32417.861225947017
MISC,PJMW,245399.8846300232,11886.93120169311,0.0436744543268655,113595,151162,2018,126.33935777509473,397036.40215175785,301444.6340358522,0.0277312094394043,0.047772656734015956,372.2827919510444,138.1545781302855,943880.9208176334,0.11917832050028576,636.7767278564246,45720.671732447976
MISC,SRCE,283457.1645063049,13730.388741597731,0.0515099518651142,125098,125325,2018,148.9962120245869,397036.40215175785,390900.1645700108,0.0277312094394043,0.02132743366233423,372.2827919510444,286.2998419914721,1071393.7312280736,0.10056859496685272,807.5788459671032,51897.26797237136
MISC,MISW,552292.3068477539,26752.50098271821,0.0348234398318603,144525,153313,2018,467.4805371126699,397036.40215175785,661701.3008743897,0.0277312094394043,0.0395358854037597,372.2827919510444,530.7348480983455,1611030.0098739015,0.1020905346750243,1370.4981771620598,78036.72328577384
PJME,NYUP,153480.09037294297,7434.425969039796,0.0051583601548646,132256,136005,2018,14.967514421272199,173983.10970929044,524520.9813493963,0.014143617972745031,0.06323569100795134,40.918488656338894,260.7303572499943,851984.1814316297,0.08253766913556097,316.61636032760543,41269.28325527631
PJME,PJMW,513464.3655853272,24871.71335649053,0.0226377357455566,123096,146390,2018,303.9139969244272,173983.10970929044,301444.6340358522,0.014143617972745031,0.047772656734015956,40.918488656338894,138.1545781302855,988892.10933047,0.08455401045231759,482.9870637110515,47900.969828207824
PJME,NYCW,19834.756186702347,960.7762552502928,0.0003816455557942,129920,132612,2018,1.103553390593274,173983.10970929044,924580.5651406524,0.014143617972745031,0.0134691559030984,40.918488656338894,38.99873734152922,1118398.431036645,0.02799441943163763,81.02077938846139,54174.12981207071
PJMC,PJMW,375839.12240766606,18205.28073067424,0.0258325962191894,113595,154107,2018,346.79803358706835,,301444.6340358522,,0.047772656734015956,,138.1545781302855,677283.7564435182,0.07360525295320536,484.9526117173539,32806.964962539205
PJMC,MISW,145101.70894356997,7028.585339641572,0.0161304052352905,134713,144525,2018,46.64213562373099,,661701.3008743897,,0.0395358854037597,,530.7348480983455,806803.0098179597,0.055666290639050195,577.3769837220765,39080.75134380745
BASN,NWPP,983433.4701202344,47636.55866581179,0.0702766025390625,200995,201924,2018,1232.9230150024637,805461.7588348878,454190.68380382087,0.0487463935214355,0.0191012902679443,654.3658364337821,256.39318164425606,2243085.912758943,0.1381242863284423,2143.6820330805017,108652.89510894218
BASN,RMRG,730080.4066354883,35364.383232959466,0.0470023656005859,201924,203837,2018,824.602903476754,805461.7588348878,,0.0487463935214355,,654.3658364337821,,1535542.1654703761,0.0957487591220214,1478.968739910536,74380.16568656529
BASN,CANO,791955.8976283788,38361.571701944944,0.0507183731689453,304274,300863,2018,889.7960312803876,805461.7588348878,231981.51213757333,0.0487463935214355,0.02393037279479111,654.3658364337821,69.22284508618988,1829399.16860084,0.1233951394851719,1613.3847128003595,88614.31247360974
BASN,CASO,481357.8921260864,23316.50707872732,0.02668015335083,303308,304274,2018,358.1228893743474,805461.7588348878,131965.60515153766,0.0487463935214355,0.013933934992048803,654.3658364337821,40.32667447889517,1418785.2561125117,0.08936048186431429,1052.8154002870247,68724.57480904029
NYUP,ISNE,481102.55822554935,23304.138953478523,0.0449984530959899,140763,139286,2018,130.1677848998409,524520.9813493963,138974.19193031781,0.06323569100795134,0.010886532837681382,260.7303572499943,31.515199094487595,1144597.7315052634,0.11912067694162264,422.4133412443228,55443.19838833543
NYUP,NYCW,297346.10016408993,14403.155246267206,0.0066578181141987,129505,134793,2018,19.303300858899114,524520.9813493963,924580.5651406524,0.06323569100795134,0.0134691559030984,260.7303572499943,38.99873734152922,1746447.6466541386,0.08336266502524844,319.03239545042265,84596.22160961943
NWPP,RMRG,1328607.6977065236,64356.46178272514,0.1111633176269531,200995,203837,2018,1950.2337649086126,454190.68380382087,,0.0191012902679443,,256.39318164425606,,1782798.3815103443,0.1302646078948974,2206.6269465528685,86357.01577224977
NWPP,CANO,851548.3087763087,41248.170008730725,0.0556887147216796,201104,304459,2018,976.9950391004845,454190.68380382087,231981.51213757333,0.0191012902679443,0.02393037279479111,256.39318164425606,69.22284508618988,1537720.504717703,0.09872037778441502,1302.6110658309303,74485.68231631415
NWPP,CASO,1200647.6184071093,58158.20027380659,0.0878940904541015,201104,303308,2018,1542.0016587651562,454190.68380382087,131965.60515153766,0.0191012902679443,0.013933934992048803,256.39318164425606,40.32667447889517,1786803.9073624678,0.1209293157140946,1838.7215148883074,86551.03954003833
